order_id,customer_id,product_id,seller_id,quantity,order_date,status
1,17,4,7,4,2025-12-13,Cancelled
2,79,10,5,4,2025-10-08,Delivered
3,37,4,7,3,2025-08-27,Shipped
4,87,4,9,4,2025-03-28,Cancelled
5,37,9,10,3,2025-02-17,Delivered
6,29,13,4,2,2025-01-13,Delivered
7,61,10,2,4,2025-08-01,Cancelled
8,25,12,7,4,2025-07-24,Delivered
9,84,12,1,1,2025-08-06,Delivered
10,90,9,8,1,2025-10-13,Delivered
11,59,3,8,3,2025-08-15,Processing
12,55,14,9,4,2025-03-23,Cancelled
13,58,5,4,3,2025-09-24,Shipped
14,36,8,2,3,2025-05-01,Delivered
15,41,15,9,1,2025-03-12,Delivered
16,50,12,3,2,2025-02-02,Shipped
17,43,9,8,4,2025-02-01,Delivered
18,50,15,10,1,2025-10-22,Shipped
19,1,6,5,4,2025-08-03,Processing
20,78,15,4,4,2025-04-23,Delivered
21,63,1,7,3,2025-12-09,Cancelled
22,93,3,8,2,2025-11-15,Processing
23,51,10,10,1,2025-02-12,Cancelled
24,18,14,8,2,2025-01-26,Delivered
25,42,4,8,3,2025-06-22,Shipped
26,97,14,7,3,2025-02-11,Shipped
27,96,9,1,3,2025-04-25,Cancelled
28,100,11,1,1,2025-05-07,Delivered
29,80,3,4,2,2025-08-31,Cancelled
30,73,4,8,3,2025-07-08,Delivered
31,78,12,2,2,2025-06-09,Delivered
32,4,15,5,4,2025-07-23,Cancelled
33,10,10,4,1,2025-12-23,Delivered
34,16,13,10,1,2025-06-27,Processing
35,85,6,2,3,2025-01-07,Shipped
36,14,7,6,4,2025-12-29,Delivered
37,23,12,9,3,2025-11-12,Processing
38,60,7,10,3,2025-06-15,Delivered
39,36,15,8,2,2025-08-26,Processing
40,86,7,6,1,2025-09-11,Delivered
41,63,4,6,3,2025-06-24,Delivered
42,90,15,5,1,2025-09-22,Delivered
43,31,12,7,4,2025-10-12,Delivered
44,83,12,8,4,2025-01-09,Delivered
45,29,7,4,3,2025-12-06,Processing
46,61,9,9,3,2025-08-06,Cancelled
47,43,6,8,3,2025-06-06,Delivered
48,16,12,4,3,2025-03-03,Cancelled
49,98,12,3,2,2025-04-21,Cancelled
50,36,12,10,3,2025-02-21,Delivered
51,30,6,3,3,2025-01-08,Cancelled
52,17,5,1,1,2025-10-11,Delivered
53,82,14,8,1,2025-01-07,Processing
54,61,8,8,3,2025-04-05,Delivered
55,62,2,2,4,2025-09-09,Delivered
56,81,11,1,2,2025-03-18,Processing
57,11,4,2,4,2025-11-07,Processing
58,29,13,9,4,2025-08-19,Shipped
59,76,7,5,1,2025-11-09,Cancelled
60,98,4,4,3,2025-12-05,Delivered
61,31,3,9,1,2025-03-22,Delivered
62,58,12,10,4,2025-05-30,Delivered
63,37,12,5,4,2025-02-06,Cancelled
64,34,13,10,2,2025-08-06,Delivered
65,29,11,3,3,2025-03-14,Delivered
66,22,13,5,3,2025-08-13,Delivered
67,89,5,7,3,2025-09-14,Processing
68,57,2,10,1,2025-08-10,Cancelled
69,78,5,1,1,2025-04-28,Cancelled
70,76,1,5,1,2025-03-31,Shipped
71,84,8,5,2,2025-10-27,Shipped
72,12,8,6,4,2025-06-20,Delivered
73,21,6,7,4,2025-05-28,Cancelled
74,98,9,1,4,2025-02-15,Delivered
75,42,2,7,1,2025-12-03,Processing
76,53,1,4,3,2025-11-15,Shipped
77,98,1,4,3,2025-10-09,Delivered
78,57,15,8,1,2025-01-15,Cancelled
79,31,12,3,3,2025-10-10,Delivered
80,53,2,4,1,2025-08-25,Delivered
81,64,15,5,3,2025-08-01,Shipped
82,32,8,9,2,2025-07-16,Delivered
83,66,12,3,1,2025-05-22,Shipped
84,65,5,1,3,2025-06-02,Processing
85,85,8,3,4,2025-10-03,Shipped
86,43,9,9,4,2025-08-22,Delivered
87,90,4,10,4,2025-04-30,Shipped
88,41,12,8,4,2025-07-17,Cancelled
89,64,1,3,3,2025-02-21,Shipped
90,68,15,8,1,2025-03-15,Shipped
91,10,8,5,3,2025-11-16,Cancelled
92,84,2,6,4,2025-06-12,Cancelled
93,70,1,10,1,2025-05-01,Cancelled
94,30,12,2,4,2025-02-20,Cancelled
95,57,3,5,1,2025-01-24,Delivered
96,38,6,6,4,2025-03-16,Delivered
97,53,10,3,2,2025-03-31,Delivered
98,49,10,4,4,2025-10-26,Delivered
99,60,11,5,4,2025-05-11,Cancelled
100,60,15,5,2,2025-02-07,Shipped
101,76,5,7,3,2025-08-22,Delivered
102,50,14,8,1,2025-05-02,Shipped
103,46,10,5,3,2025-01-12,Cancelled
104,36,1,10,1,2025-11-07,Cancelled
105,37,13,4,3,2025-04-23,Cancelled
106,80,5,3,1,2025-11-18,Cancelled
107,40,13,8,1,2025-10-24,Delivered
108,12,15,5,3,2025-08-01,Delivered
109,17,13,9,3,2025-09-29,Processing
110,22,5,8,3,2025-06-23,Delivered
111,10,3,4,4,2025-10-13,Delivered
112,51,1,5,1,2025-08-21,Delivered
113,75,7,6,1,2025-12-12,Delivered
114,4,10,9,3,2025-11-09,Delivered
115,82,14,8,3,2025-11-29,Shipped
116,18,1,1,3,2025-09-10,Delivered
117,31,15,9,2,2025-07-18,Shipped
118,86,12,9,4,2025-10-28,Cancelled
119,54,11,2,4,2025-11-12,Shipped
120,5,12,6,2,2025-08-16,Shipped
121,47,2,6,3,2025-02-01,Shipped
122,25,2,8,1,2025-12-06,Delivered
